judul,berita,emiten
"Target Price BMRI, Yuanta Investement Consulting Sekuritas Rp 9.400 : Buy","pefindo i-grade, in: admf , assa , bnii , smar , smra , out: bbtn , dsng , issp , sgro , wood .",['bbtn']
"Target Price BMRI, PT Verdhana Sekuritas Rp 10.600 : Buy","perdagangan akhir semester i/2022, indeks bisnis-27 dibuka menguat bisnis.com , jakarta – dibuka menguat tipis pada perdagangan akhir bulan, kamis (30/6/2022), dipimpin oleh amrt, brpt, dan mdka.","['buka', 'buka', 'amrt', 'brpt', 'mdka']"
"Target Price BMRI, PT Verdhana Sekuritas Rp 10.600 : Buy","(amrt) memimpin kenaikan 3,02 persen atau 60 poin ke 2.050. selanjutnya, disusul pt barito pacific tbk.",['amrt']
"Target Price BMRI, PT Verdhana Sekuritas Rp 10.600 : Buy","(brpt) naik 2,63 persen atau 20 poin ke 780. selanjutnya, terdapat mdka, asii, emtk, bmri hingga mncn juga msuk ke jajaran saham hijau dengan kenaikan masing-masing 2,03 persen, 1,54 persen, 1,50 persen, 1,26 persen, dan 1,06 persen.","['brpt', 'mdka', 'asii', 'emtk', 'bmri', 'mncn']"
"Target Price BMRI, PT Verdhana Sekuritas Rp 10.600 : Buy","(ptba) yang melorot 2,76 persen atau 110 poin ke 3.880. selanjutnya, saham pt nfi finance indonesia tbk.",['ptba']
"Target Price BMRI, PT Verdhana Sekuritas Rp 10.600 : Buy","(smgr) turun 0,44 persen ke level 1.130. adapun, saham pt adaro energy indonesia tbk.",['smgr']
"Target Price BMRI, PT Verdhana Sekuritas Rp 10.600 : Buy","(adro) turun 0,35 persen ke 2.860. sedangkan, saham yang stagnan ada pwon tetap di 480, heal tetap di 1.480, cpin di 5.925, bbri di 4.480, dan bbni di 8.025. bersamaan dengan indeks bisnis-27 menguat, indeks harga saham gabungan (ihsg) pada pukul 09.30 wib turut menguat 0,45 persen atau 31,27 poin ke level 6.973,62.sebanyak 232 saham berada di zona hijau, 181 saham di zona merah, dan 196 saham stagnan.","['adro', 'cpin', 'bbri', 'bbni']"
"Target Price TLKM, HSBC Sekuritas Rp 4.750 : Buy","pada kondisi tersebut, saham-saham yang menarik dicermati pada perdagangan kamis (30/6) adalah pt bank rakyat indonesia tbk ( bbri ), pt timah tbk ( tins ), pt telkom indonesia tbk ( tlkm ), dan pt metro healthcare indonesia tbk ( care ).","['bbri', 'tins', 'tlkm']"
"Target Price TLKM, HSBC Sekuritas Rp 4.750 : Buy","berikut adalah ulasannya: 1. bbri tren bearish selama closing di bawah rp 4.430, menunjukkan peluang penurunan terbatas untuk rebound.",['bbri']
"Target Price TLKM, HSBC Sekuritas Rp 4.750 : Buy","2. tins tren bearish selama di bawah rp 1.740, peluang rebound masih terbuka.","['tins', 'buka']"
"Target Price TLKM, HSBC Sekuritas Rp 4.750 : Buy","3. tlkm tren bearish dan fase distribusi selama di bawah rp 4.200, candle bullish inverted hammer, stochastic bearish.",['tlkm']
"Untuk Ekspansi Usaha, KLBF Dapat Pinjaman Rp1 Triliun Dari BBNI","baca juga: bni sekuritas: ihsg hari ini melemah terbatas, cermati saham pilihan bbri, tins, tlkm dan care kekhawatiran tentang inflasi, melemahnya sentimen konsumen, dan pengetatan kebijakan moneter telah membebani saham sepanjang 2022, termasuk selasa (28/6) ketika s&p 500 jatuh 2%.","['bbri', 'tins', 'tlkm']"
"Untuk Ekspansi Usaha, KLBF Dapat Pinjaman Rp1 Triliun Dari BBNI","dow jones industrial average ditutup naik 0,3% pada 31.029,31. s&p 500 berbasis luas tergelincir 0,1% menjadi 3.818,83, sementara nasdaq composite index yang kaya teknologi turun tipis kurang dari 0,1% menjadi 11.177,89. baca juga: pilarmas: ihsg hari ini melemah, pantau saham pilihan adhi hingga mari saham di asia pasifik jatuh pada pembukaan pasar pada kamis (30/6) karena investor menunggu rilis data dari tiongkok.",['buka']
"Untuk Ekspansi Usaha, KLBF Dapat Pinjaman Rp1 Triliun Dari BBNI","dimulai dari analis dari mandiri sekuritas yang memberikan saham-saham pilihan, yaitu baca juga: pasar asia pasifik tergelincir, data pmi tiongkok segera rilis cpin rekomendasi: buy harga penutupan: 5.925 target harga: 6.100 stop loss/reversal : 5.850 support : 5.840 resistance : 6.100 jpfa rekomendasi: buy harga penutupan: 1.555 target harga: 1.640 stop loss/reversal : 1.500 support : 1.500 resistance : 1.640 agii rekomendasi: buy harga penutupan: 2.080 target harga: 2.200 stop loss/reversal :2.000 support : 2.000 resistance : 2.200 drma rekomendasi: speculative b uy harga penutupan: 680 target harga: 740 stop loss/reversal : 650 support : 650 resistance : 740 bsml rekomendasi: speculative buy harga penutupan: 1.185 target harga: 1.250 stop loss/reversal : 1.150 support : 1.150 resistance : 1.250 baca juga : wall street belum bergerak, pasar cari berita positif sementara itu, analis pilarmas investindo sekuritas memberikan beberapa saham pilihan yang bisa dicermati pada hari ini, yaitu adhi last price : 800 support : 765 resistance: 855 eraa last price : 520 support :494 resistance: 570 tbig last price : 2.870 support : 2.800 resistance: 2.990 bbca tetap pertahankan target kredit tumbuh 6%-8% tahun ini.","['cpin', 'jpfa', 'eraa', 'tbig', 'bbca']"
"Untuk Ekspansi Usaha, KLBF Dapat Pinjaman Rp1 Triliun Dari BBNI","last price:7.275 per: 27,52x pbv: 4,42x support : 7.125 resistance: 7.475 target: 7.250 (short term) 8.100 (long term) exit: 7.650 (short term) 7.000 (long term) mari bukukan penurunan pendapatan bersih sekitar 4,4% menjadi rp 69,6 miliar di sepanjang 2021 dari sebelumnya rp 72,8 miliar di tahun 2020. last price: 191 per; -x pbv; 4,50x support : 180 resistance: 210 target: 195 exit: 170 baca juga : ihsg hari ini dibayangi aksi profit taking, cek rekomendasi myor, mapi, cpin, prda, mika sementara itu, artha sekuritas indonesia merekomendasaikan saham-saham pilihan yang bisa dicermati pada perdagangan hari ini, yaitu mika target price: 2.780 – 2.820 entry level: 2.660 – 2.700 stop loss: 2.630 bergerak menguat dengan membentuk goldencross pada ma50 dan kenaikan volume mengindikasikan potensi penguatan.","['cpin', 'mika', 'mika']"
"Untuk Ekspansi Usaha, KLBF Dapat Pinjaman Rp1 Triliun Dari BBNI",wika target price: 1.060 – 1.080 entry level: 1.000 – 1.020 stop loss: 980 mengalami koreksi dan breakdown support.,['wika']
"Untuk Ekspansi Usaha, KLBF Dapat Pinjaman Rp1 Triliun Dari BBNI","baca juga: phintraco sekuritas: waspadai koreksi ihsg hari ini, perhatikan saham berpeluang rebound sementara itu, phintraco sekuritas merekomendasikan saham-saham pilihan yang dapat dicermati pada perdagangan hari ini, yaitu bbca tengah uji critical support 7.250. stochastic rsi bergerak di oversold area.",['bbca']
"IHSG Menghijau, Sektor Saham Infrastruktur Pimpin Penguatan","bri (bbri) percaya diri kredit sindikasi berjalan optimal, ini sebabnya bisnis.com, jakarta – kepercayaan diri ditunjukkan oleh pt bank rakyat indonesia (persero) tbk.",['bbri']
"IHSG Menghijau, Sektor Saham Infrastruktur Pimpin Penguatan",(bbri) terkait dengan partisipasi pembiayaan atau kredit sindikasi hingga akhir 2022. corporate secretary bri aestika oryza gunarto mengaku optimistis bahwa pembiayaan sindikasi dari perseroan dapat berjalan sesuai rencana hingga akhir 2022. hal ini disebabkan masih ada sejumlah kesepakatan sindikasi yang sudah masuk tahap finalisasi.,['bbri']
"IHSG Menghijau, Sektor Saham Infrastruktur Pimpin Penguatan","menurutnya, kredit korporasi bukan inti bisnis dari perseroan namun segmen korporasi akan terus didorong oleh bri untuk berakselerasi.",['buka']
"IHSG Menghijau, Sektor Saham Infrastruktur Pimpin Penguatan","penambahan fasilitas pinjaman berdasarkan perjanjian pinjaman dilaksanakan untuk melakukan atas sebagian atau seluruh dari obligasi global senilai us$300juta atau sekitar rp4,44 triliun (estimasi kurs rp14.800 per dolar as) yang diterbitkan oleh ssms tahun 2018. di sisi lain, berdasarkan data bloomberg sampai dengan 28 juni 2022, emiten bank berkode saham bbri ini telah menjalin satu kesepakatan sindikasi dengan nilai sebesar us$63,87 juta.",['bbri']
"IHSG Rawan Koreksi, Intip Rekomendasi Saham dari Sejumlah Analis untuk Kamis (30/6)","pemenang special achievement bisra 2022, ada bbri hingga ancol bisnis.com, jakarta – harian bisnis indonesia kembali menyelenggarakan acara penghargaan bisnis indonesia corporate social responsibility awards (bisra) 2022. acara ini bertujuan mendukung pemulihan dan pertumbuhan ekonomi yang berkelanjutan.",['bbri']
"IHSG Rawan Koreksi, Intip Rekomendasi Saham dari Sejumlah Analis untuk Kamis (30/6)","“ini menjadi alasan kami untuk turut mendorong penguatan pelaksanaan program csr melalui pemberian anugerah bisra 2022,” ujar hariyadi dalam pembukaan acara anugerah bisra 2022 di jakarta, rabu (29/6/2022).",['buka']
"Bursa Kamis (30/6) Segera Dibuka, Simak Proyeksi IHSG dari Sejumlah Analis Berikut","ihsg berkurang minus 55 poin atau sebesar 0,25 persen menuju level 6.942. indeks lq45 -1,18% ke 995. indeks idx30 -1,20% ke 531. indeks idx80 -1,18% ke 140. jakarta islamic indeks (jii) -1,05% ke 580. indeks kompas100 -1,20% ke 1.208. indeks sri kehati -1,55% ke 389. indeks sminfra18 -1,57% ke 310. saham top gainers lq45: bfin , smgr , tins , cpin , mika , amrt , tlkm .","['bfin', 'smgr', 'tins', 'cpin', 'mika', 'amrt', 'tlkm']"
"Bursa Kamis (30/6) Segera Dibuka, Simak Proyeksi IHSG dari Sejumlah Analis Berikut","saham top losers lq45: jpfa , bbca , hmsp , goto , icbp , klbf , bbni .","['jpfa', 'bbca', 'hmsp', 'icbp', 'klbf', 'bbni']"
"Bursa Kamis (30/6) Segera Dibuka, Simak Proyeksi IHSG dari Sejumlah Analis Berikut","saham teraktif: mpow , bbri , winr , abba , antm , dsfi , asha .","['bbri', 'antm']"
"Bursa Kamis (30/6) Segera Dibuka, Simak Proyeksi IHSG dari Sejumlah Analis Berikut",bursa eropa saham eropa meluncur turun pada pembukaan trading hari rabu (29/6) karena sentimen global tetap bergejolak dan investor memantau prospek ekonomi.,['buka']
"Kredit Bank Mandiri (BMRI) Tumbuh 11,41 persen pada Mei 2022","kurs jual beli dolar as di bca (bbca), bri (bbri), bank mandiri (bmri), dan bni (bbni) hari ini, cek rinciannya bisnis.com , jakarta — nilai tukar rupiah terhadap dolar amerika serikat (as) dibuka melemah pada pembukaan perdagangan rabu (29/6/2022), meski dolar as bergerak turun.","['bbca', 'bbri', 'bmri', 'bbni', 'buka', 'buka']"
"Kredit Bank Mandiri (BMRI) Tumbuh 11,41 persen pada Mei 2022","di sisi lain, mata uang asia lainnya dibuka bervariasi, di antaranya yen jepang yang naik 0,07 persen, won korea selatan melemah 0,53 persen, yuan china naik 0,09 persen, dan ringgit malaysia naik 0,06 persen sementara itu, indeks dolar as hingga pukul 09.05 wib, melemah 0,11 persen atau 0,12 poin ke level 104,39. lantas, bagaimana kurs dolar as di bca, bri, bank mandiri, dan bni pada perdagangan hari ini, rabu (29/6/2022)?",['buka']
"Kredit Bank Mandiri (BMRI) Tumbuh 11,41 persen pada Mei 2022",( bbca ) pada rabu (29/6/2022) pukul 09.37 wib menetapkan harga beli dolar as sebesar rp14.834 dan harga jual sebesar rp14.854 berdasarkan e-rate .,['bbca']
"Kredit Bank Mandiri (BMRI) Tumbuh 11,41 persen pada Mei 2022",( bbri ) menetapkan harga beli dan harga jual dolar as pada rabu (29/6/2022) pukul 09.35 wib masing-masing sebesar rp14.838 dan rp14.858 untuk e-rate .,['bbri']
"Pasar Masih Volatil, Padukan Pilihan ETF Indeks Untuk Bertahan dan ETF Active Manage Untuk Raih Laba","""perjanjian kredit sindikasi sehubungan dengan rencana ssms untuk mendapatkan fasilitas pembiayaan dari para kreditur sindikasi sampai dengan sebesar rp 4,3 triliun,"" ungkap manajemen perseroan dalam keterbukaan informasi bursa efek indonesia (bei), dikutip rabu (29/6/2022).",['buka']
"Pasar Masih Volatil, Padukan Pilihan ETF Indeks Untuk Bertahan dan ETF Active Manage Untuk Raih Laba","pada pembukaan perdagangan, mengutip data rti, ihsg merosot 23 poin ke posisi 6.973,12. pada pukul 09.15 wib, ihsg berbalik arah menguat ke zona hijau.",['buka']
"Pasar Masih Volatil, Padukan Pilihan ETF Indeks Untuk Bertahan dan ETF Active Manage Untuk Raih Laba","investor asing kembali melakukan aksi jual kemarin rp 1,5 triliun, dengan tiga top sell saham bbca, bmri, dan tlkm.","['bbca', 'bmri', 'tlkm']"
"Pasar Masih Volatil, Padukan Pilihan ETF Indeks Untuk Bertahan dan ETF Active Manage Untuk Raih Laba","ihsg kembali memangkas pelemahan pada sesi dua, membuat ihsg diprediksi rabu, 29 juni 2022 bergerak variasi dengan kisaran 6.950-7.150. saham-saham yang masuk top gainers antara lain: -saham lead melonjak 13,56 persen -saham kjen melonjak 9,3 persen -saham flmc melonjak 9,21 persen -saham abba melonjak 8,85 persen -saham digi melonjak 8,77 persen saham-saham yang masuk top losers antara lain: -saham bolt melemah 6,99 persen -saham hits melemah 6,94 persen -saham snlk melemah 6,9 persen -saham rigs melemah 6,90 persen -saham esta melemah 6,83 persen saham-saham yang paling aktif ditransaksikan antara lain: -saham dsfi sebanyak 18.081 kali -saham abba sebanyak 6.431 kali -saham asha sebanyak 5.700 kali -saham winr sebnyak 4.399 kali -saham tnca sebanyak 4.283 kali saham-saham aktif ditransaksikan secara nilai antara lain: -saham bebs senilai rp 261,6 miliar -saham goto senilai rp 185,5 miliar -saham nato senilai rp 95,5 miliar -saham bbca senilai rp 79,7 miliar -saham bbri senilai rp 68,4 miliar sebelumnya, bursa saham asia cenderung bervariasi.","['bbca', 'bbri']"
"Perdagangan Akhir Semester I/2022, Indeks Bisnis-27 Dibuka Menguat","saham migas tertekan, pelemahan ihsg berlanjut republika.co.id, jakarta -- indeks harga saham gabungan (ihsg) dibuka di zona merah pada perdagangan rabu (29/6/2022).",['buka']
"Perdagangan Akhir Semester I/2022, Indeks Bisnis-27 Dibuka Menguat","penurunan ihsg dipicu oleh melemahnya saham-saham yang berkaitan dengan komoditas tambang dan energi diantaranya hrum turun 2,63 persen, asii terpangkas 1,87 persen, pgas terkorkesi 0,89 persen serta adro melemah 0,34 persen.","['hrum', 'asii', 'pgas', 'adro']"
"Perkuat Modal BRI Danareksa Sekuritas, BBRI Injeksi Rp67 Miliar","pada pembukaan perdagangan, mengutip data rti, ihsg merosot 23 poin ke posisi 6.973,12. pada pukul 09.15 wib, ihsg berbalik arah menguat ke zona hijau.",['buka']
"Perkuat Modal BRI Danareksa Sekuritas, BBRI Injeksi Rp67 Miliar","investor asing kembali melakukan aksi jual kemarin rp 1,5 triliun, dengan tiga top sell saham bbca, bmri, dan tlkm.","['bbca', 'bmri', 'tlkm']"
"Perkuat Modal BRI Danareksa Sekuritas, BBRI Injeksi Rp67 Miliar","saham-saham yang masuk top gainers antara lain: -saham lead melonjak 13,56 persen -saham kjen melonjak 9,3 persen -saham flmc melonjak 9,21 persen -saham abba melonjak 8,85 persen -saham digi melonjak 8,77 persen saham-saham yang masuk top losers antara lain: -saham bolt melemah 6,99 persen -saham hits melemah 6,94 persen -saham snlk melemah 6,9 persen -saham rigs melemah 6,90 persen -saham esta melemah 6,83 persen saham-saham yang paling aktif ditransaksikan antara lain: -saham dsfi sebanyak 18.081 kali -saham abba sebanyak 6.431 kali -saham asha sebanyak 5.700 kali -saham winr sebnyak 4.399 kali -saham tnca sebanyak 4.283 kali saham-saham aktif ditransaksikan secara nilai antara lain: -saham bebs senilai rp 261,6 miliar -saham goto senilai rp 185,5 miliar -saham nato senilai rp 95,5 miliar -saham bbca senilai rp 79,7 miliar -saham bbri senilai rp 68,4 miliar bursa saham asia cenderung bervariasi.","['bbca', 'bbri']"
Pembiayaan Sindikasi Komitmen Perbankkan Dukung Pemerintah Bangun Green Sector,"dibuka melemah, ihsg berbalik menguat di awal sesi ipotnews - ihsg dibuka melemah pada pembukaan sesi perdagangan hari ini, rabu (29/6) di level 6.973, lebih rendahdari sesi penutupan kemarin di posisi6.996.","['buka', 'buka', 'buka']"
Pembiayaan Sindikasi Komitmen Perbankkan Dukung Pemerintah Bangun Green Sector,"namun pada pukul 09.07 wib, indeks berbalik menguat sebesar 0,16 persen atau 11 poin menjadi 7.007. indeks sempat menyentuh level tertinggi 7.009 dan terendah di level 6.962. sebanyak 195 menguat, 155 emiten melemah dan 205 emiten stagnan.lima saham teraktif di awal sesi perdagangan yaitu bebs dengan volume nilai transaksi rp64,96 miliar, goto rp53,59 miliar, bbca rp46,28 miliar, bbri rp32,61 miliar dan bumi rp31,10 miliar.","['bbca', 'bbri']"
Pembiayaan Sindikasi Komitmen Perbankkan Dukung Pemerintah Bangun Green Sector,"dari indeks kompas100, saham yang menjadi top gainer adalah tins 3,37 persen, mapi 1,62 persen, doid 1,58 persen, medc 1,50 persen, issp 1,37 persen.","['tins', 'medc']"
Pembiayaan Sindikasi Komitmen Perbankkan Dukung Pemerintah Bangun Green Sector,"emiten yang masih stabil pergerakan nilai sahamnya yaitu eraa , akra , agii , wmuu , gjtl .",['eraa']
Pembiayaan Sindikasi Komitmen Perbankkan Dukung Pemerintah Bangun Green Sector,"sedangkan emiten yang menjadi top losser yaitu towr -1,90 persen, isat -1,84 persen, essa -1,64 persen, wood -1,56 persen dan myor -1,48 persen.",['towr']
Simak Rekomendasi Saham dari BNI Sekuritas untuk Perdagangan Kamis (30/6),"mirae: ihsg konsolidasi, cek rekomendasi medc, pgas, asii jakarta, investor.id – mirae asset sekuritas memprediksi ihsg konsolidasi pada perdagangan rabu (29/6/2022).","['medc', 'pgas', 'asii']"
Simak Rekomendasi Saham dari BNI Sekuritas untuk Perdagangan Kamis (30/6),"ihsg diperkirakan akan diperdagangkan pada rentang 6.944 – 7.033. cek rekomendasi medc, pgas, asii.","['medc', 'pgas', 'asii']"
Simak Rekomendasi Saham dari BNI Sekuritas untuk Perdagangan Kamis (30/6),"net sell asing teratas adalah bbca, bmri, tlkm, dan bbri.","['bbca', 'bmri', 'tlkm', 'bbri']"
Simak Rekomendasi Saham dari BNI Sekuritas untuk Perdagangan Kamis (30/6),"harga saham perusahaan pertambangan nikel antm dan inco melanjutkan tren turunnya karena faktor investor dalam penurunan harga nikel baru-baru ini, yang menghapus kenaikan harga nikel tahun 2022. di komoditas, hingga hari ini, hanya harga batu bara dan minyak yang masih bisa membukukan kenaikan positif.","['antm', 'inco']"
Simak Rekomendasi Saham dari BNI Sekuritas untuk Perdagangan Kamis (30/6),"baca juga: saham pilihan untuk trading 29 juni dan target harganya “kami menegaskan kembali pemilihan stok bulanan terkait batubara, yaitu adro, itmg, ptba, dan untr,” tambah mirae asset sekuritas.","['adro', 'itmg', 'ptba', 'untr']"
Simak Rekomendasi Saham dari BNI Sekuritas untuk Perdagangan Kamis (30/6),"indeks ekuitas as ditutup melemah tajam pada hari selasa, membalikkan kenaikan awal sesi perdagangan karena penurunan kepercayaan konsumen domestik membayangi optimisme pembukaan kembali di tiongkok.",['buka']
Simak Rekomendasi Saham dari BNI Sekuritas untuk Perdagangan Kamis (30/6),"sementara itu, indeks harga rumah nasional s&p corelogic case-shiller menunjukkan pertumbuhan melambat untuk pertama kalinya sejak 2021. mirae asset sekuritas merekomendasikan tiga saham pilihan untuk perdagangan hari ini, yaitu medc harga penutupan: 665 (+3,10%) rekomendasi: buy on weakness trading range: 645 – 680 indikator mfi optimized, indikator rsi optimized dan indikator w%r optimized cenderung naik lebih lanjut namun mulai terbatas.",['medc']
Simak Rekomendasi Saham dari BNI Sekuritas untuk Perdagangan Kamis (30/6),"daily support di 645 dan daily resistance di 680. cut loss level di 615. baca juga: bni sekuritas: ihsg potensi melemah terbatas, cek target harga bbca hingga tbig pgas harga penutupan: 1.685 (1,51%) rekomendasi: buy on weakness trading range: 1.665 – 1.730 indikator mfi optimized, indikator rsi optimized dan indikator w%r optimized masih cenderung naik.","['bbca', 'tbig', 'pgas']"
Simak Rekomendasi Saham dari BNI Sekuritas untuk Perdagangan Kamis (30/6),"daily support di 1,665 dan daily resistance di 1,730. cut loss level di 1,600. asii harga penutupan: 6.700 (0,75%) rekomendasi: buy on weakness trading range: 6.575 – 6.775 indikator mfi optimized, indikator rsi optimized dan indikator w%r optimized cenderung naik lebih lanjut.",['asii']
"IHSG Melemah Terbatas, Cermati BBRI, TINS, TLKM dan CARE","ihsg diperkirakan akan diperdagangkan pada rentang 6.904 – 7.089. lima saham pilihan masuk radar, salah satunya pgas.",['pgas']
